storeId,transactionId,coffeeType,price,currency,loyaltyCardId
store-london-01,txn-0001,LATTE,3.50,EUR,card-1001
store-london-01,txn-0002,ESPRESSO,2.20,EUR,card-1002
store-london-01,txn-0003,CAPPUCCINO,3.10,EUR,card-1001
store-london-01,txn-0004,FLAT_WHITE,3.40,EUR,card-1003
store-london-01,txn-0005,COLD_BREW,4.00,EUR,card-1004
store-london-01,txn-0006,MOCHA,3.80,EUR,card-1002
store-london-01,txn-0007,AMERICANO,2.60,EUR,card-1005
store-london-01,txn-0008,DOUBLE_ESPRESSO,2.80,EUR,card-1001
store-london-01,txn-0009,CORTADO,2.90,EUR,card-1006
store-london-01,txn-0010,MACCHIATO,2.50,EUR,card-1003
store-london-02,txn-0011,LATTE,3.60,EUR,card-2001
store-london-02,txn-0012,CAPPUCCINO,3.20,EUR,card-2002
store-london-02,txn-0013,ESPRESSO,2.30,EUR,card-2003
store-london-02,txn-0014,COLD_BREW,4.10,EUR,card-2001
store-london-02,txn-0015,FLAT_WHITE,3.50,EUR,card-2004
store-london-02,txn-0016,MOCHA,3.90,EUR,card-2002
store-london-02,txn-0017,AMERICANO,2.70,EUR,card-2005
store-london-02,txn-0018,LATTE,3.60,EUR,card-2006
store-london-02,txn-0019,CORTADO,3.00,EUR,card-2003
store-london-02,txn-0020,MACCHIATO,2.60,EUR,card-2001
store-paris-01,txn-0021,ESPRESSO,2.40,EUR,card-3001
store-paris-01,txn-0022,LATTE,3.70,EUR,card-3002
store-paris-01,txn-0023,CAPPUCCINO,3.30,EUR,card-3003
store-paris-01,txn-0024,FLAT_WHITE,3.60,EUR,card-3001
store-paris-01,txn-0025,MOCHA,4.00,EUR,card-3004
store-paris-01,txn-0026,COLD_BREW,4.20,EUR,card-3002
store-paris-01,txn-0027,AMERICANO,2.80,EUR,card-3005
store-paris-01,txn-0028,DOUBLE_ESPRESSO,3.00,EUR,card-3001
store-paris-01,txn-0029,CORTADO,3.10,EUR,card-3006
store-paris-01,txn-0030,MACCHIATO,2.70,EUR,card-3003
store-berlin-01,txn-0031,LATTE,3.80,EUR,card-4001
store-berlin-01,txn-0032,ESPRESSO,2.50,EUR,card-4002
store-berlin-01,txn-0033,CAPPUCCINO,3.40,EUR,card-4003
store-berlin-01,txn-0034,FLAT_WHITE,3.70,EUR,card-4001
store-berlin-01,txn-0035,MOCHA,4.10,EUR,card-4004
store-berlin-01,txn-0036,COLD_BREW,4.30,EUR,card-4002
store-berlin-01,txn-0037,AMERICANO,2.90,EUR,card-4005
store-berlin-01,txn-0038,DOUBLE_ESPRESSO,3.10,EUR,card-4001
store-berlin-01,txn-0039,CORTADO,3.20,EUR,card-4006
store-berlin-01,txn-0040,MACCHIATO,2.80,EUR,card-4003
store-nyc-01,txn-0041,LATTE,4.25,USD,card-5001
store-nyc-01,txn-0042,ESPRESSO,2.95,USD,card-5002
store-nyc-01,txn-0043,CAPPUCCINO,3.95,USD,card-5003
store-nyc-01,txn-0044,COLD_BREW,4.75,USD,card-5001
store-nyc-01,txn-0045,MOCHA,4.50,USD,card-5004
store-london-01,txn-0046,LATTE,3.50,GBP,card-1007
store-london-01,txn-0047,FLAT_WHITE,3.40,GBP,card-1008
store-london-02,txn-0048,CAPPUCCINO,3.20,GBP,card-2007
store-paris-01,txn-0049,ESPRESSO,2.40,GBP,card-3007
store-berlin-01,txn-0050,COLD_BREW,4.30,GBP,card-4007
